TS	Time	Phase	Temps
2012-04-26 12:01:12.828	72.562	-77.198	310.44
2012-04-26 12:01:13.015	72.749	-77.234	310.44
2012-04-26 12:01:13.219	72.953	-78.287	310.44
2012-04-26 12:01:13.422	73.156	-77.91	310.43
2012-04-26 12:01:13.625	73.359	-77.497	310.43
2012-04-26 12:01:13.828	73.562	-77.445	310.43
2012-04-26 12:01:14.031	73.765	-77.574	310.43
2012-04-26 12:01:14.234	73.968	-77.548	310.43
2012-04-26 12:01:14.422	74.156	-77.767	310.44
2012-04-26 12:01:14.625	74.359	-77.712	310.44
2012-04-26 12:01:14.828	74.562	-79.057	310.44
2012-04-26 12:01:15.031	74.765	-77.664	310.44
2012-04-26 12:01:15.234	74.968	-77.234	310.44
2012-04-26 12:01:15.437	75.171	-77.392	310.44
2012-04-26 12:01:15.625	75.359	-76.679	310.44
2012-04-26 12:01:15.828	75.562	-77.655	310.44
2012-04-26 12:01:16.031	75.765	-77.101	310.44
2012-04-26 12:01:16.234	75.968	-77.7	310.44
2012-04-26 12:01:16.437	76.171	-77.208	310.43
2012-04-26 12:01:16.640	76.374	-77.608	310.43
2012-04-26 12:01:16.844	76.578	-77.387	310.43
2012-04-26 12:01:17.031	76.765	-77.744	310.44
2012-04-26 12:01:17.234	76.968	-77.681	310.44
2012-04-26 12:01:17.437	77.171	-77.56	310.44
2012-04-26 12:01:17.640	77.374	-77.83	310.44
2012-04-26 12:01:17.844	77.578	-76.845	310.44
2012-04-26 12:01:18.047	77.781	-76.979	310.44
2012-04-26 12:01:18.250	77.984	-77.56	310.44
2012-04-26 12:01:18.437	78.171	-77.632	310.44
2012-04-26 12:01:18.640	78.374	-77.469	310.44
2012-04-26 12:01:18.844	78.578	-76.914	310.44
2012-04-26 12:01:19.047	78.781	-77.568	310.43
2012-04-26 12:01:19.250	78.984	-77.557	310.43
2012-04-26 12:01:19.453	79.187	-77.879	310.43
2012-04-26 12:01:19.656	79.39	-77.664	310.43
2012-04-26 12:01:19.844	79.578	-79.008	310.43
2012-04-26 12:01:20.047	79.781	-78.057	310.43
2012-04-26 12:01:20.250	79.984	-77.265	310.43
2012-04-26 12:01:20.453	80.187	-77.79	310.43
2012-04-26 12:01:20.656	80.39	-76.828	310.43
2012-04-26 12:01:20.859	80.593	-78.145	310.44
2012-04-26 12:01:21.047	80.781	-77.542	310.44
2012-04-26 12:01:21.250	80.984	-77.97	310.43
2012-04-26 12:01:21.453	81.187	-79.358	310.43
2012-04-26 12:01:21.656	81.39	-78.05	310.43
2012-04-26 12:01:21.859	81.593	-77.683	310.43
2012-04-26 12:01:22.062	81.796	-77.055	310.43
2012-04-26 12:01:22.265	81.999	-76.876	310.43
2012-04-26 12:01:22.453	82.187	-77.893	310.43
2012-04-26 12:01:22.656	82.39	-78.294	310.43
2012-04-26 12:01:22.859	82.593	-78.369	310.43
2012-04-26 12:01:23.062	82.796	-77.273	310.43
2012-04-26 12:01:23.265	82.999	-77.357	310.43
2012-04-26 12:01:23.469	83.203	-77.772	310.43
2012-04-26 12:01:23.656	83.39	-77.404	310.44
2012-04-26 12:01:23.859	83.593	-77.26	310.44
2012-04-26 12:01:24.062	83.796	-77.859	310.44
2012-04-26 12:01:24.265	83.999	-78.337	310.44
2012-04-26 12:01:24.469	84.203	-77.455	310.44
2012-04-26 12:01:24.672	84.406	-77.747	310.44
2012-04-26 12:01:24.875	84.609	-77.256	310.44
2012-04-26 12:01:25.062	84.796	-77.505	310.43
